t,o,h,l,c,v
1719343800000,61957.8,62046.6,61850.5,61884.0,48932.4
1719344700000,61884.0,62149.0,61803.3,61979.2,128727.3
1719345600000,61977.5,62082.4,61881.7,61915.4,44587.0
1719346500000,61915.4,62057.9,61890.3,61995.3,26586.2
1719347400000,61996.0,62079.3,61948.7,62036.1,22327.3
1719348300000,62036.1,62036.1,61886.0,61918.6,33529.2
1719349200000,61918.5,61918.5,61811.0,61817.6,31911.4
1719350100000,61817.5,61908.0,61817.5,61894.1,10518.6
1719351000000,61894.0,62033.0,61889.7,61935.3,23603.0
1719351900000,61935.3,61936.7,61886.2,61921.0,10537.2
1719352800000,61921.0,62107.7,61921.0,62080.2,31781.2
1719353700000,62080.2,62150.0,62080.2,62146.0,47958.5
1719354600000,62146.0,62146.0,61965.8,61969.7,36872.0
1719355500000,61969.6,61969.7,61854.1,61902.7,35374.8
1719356400000,61902.7,61937.7,61715.1,61715.2,88577.9
1719357300000,61715.2,61743.5,61653.9,61696.9,51499.6
1719358200000,61696.9,61739.1,61656.0,61708.1,34294.8
1719359100000,61708.1,61813.0,61692.9,61793.8,60715.3
1719360000000,61793.9,61834.0,61712.8,61729.8,36101.8
1719360900000,61729.8,61830.0,61726.6,61830.0,28190.5
1719361800000,61830.8,61833.0,61628.9,61662.9,47339.6
1719362700000,61663.0,61796.5,61662.9,61758.0,36880.4
1719363600000,61758.1,61908.4,61713.3,61906.0,44294.8
1719364500000,61905.9,62081.5,61877.2,62001.9,82356.1
1719365400000,62001.9,62016.0,61860.5,61988.0,64539.8
1719366300000,61988.1,62177.0,61942.7,62077.0,95865.4
1719367200000,62077.1,62380.0,61999.9,62331.3,175311.4
1719368100000,62331.3,62491.5,62103.3,62190.1,207926.4
1719369000000,62190.1,62251.8,62096.1,62096.2,38785.2
1719369900000,62096.2,62114.0,62008.7,62016.5,57466.5
1719370800000,62016.6,62067.9,61966.0,62050.0,58321.4
1719371700000,62049.9,62050.0,61900.9,61905.2,68498.7
1719372600000,61905.2,61979.0,61840.1,61939.2,80943.0
1719373500000,61939.3,61997.9,61908.0,61925.9,31293.7
1719374400000,61925.9,61984.4,61757.9,61787.6,80521.6
1719375300000,61787.6,61812.0,61737.0,61800.8,51824.5
1719376200000,61800.9,61800.9,61722.0,61748.6,53852.9
1719377100000,61748.7,61799.8,61708.0,61708.0,40584.2
1719378000000,61708.0,61784.5,61688.0,61764.0,68644.7
1719378900000,61764.1,61812.1,61575.1,61599.5,136236.2
1719379800000,61599.5,61657.0,61585.1,61642.2,36118.4
1719380700000,61642.1,61690.8,61565.5,61570.3,42038.8
